avgmaxtmp,avgmintmp,avgtmp,Geography,precipitation
89.90909091,39.81818182,66.90909091,"Clio city, Alabama",1.027272727
92.72727273,35.27272727,65.45454545,"Coaling town, Alabama",3.554545455
91.36363636,39.63636364,67.27272727,"Coffee Springs town, Alabama",4.5
94.18181818,35.36363636,65.54545455,"Coffeeville town, Alabama",4.118181818
92.72727273,35.27272727,65.45454545,"Coker town, Alabama",3.554545455
90,32.63636364,62.09090909,"Collinsville town, Alabama",2.354545455
88.45454545,32.54545455,61.63636364,"Colony town, Alabama",0.063636364
92.81818182,41.45454545,68.18181818,"Columbia town, Alabama",4
90.45454545,38,64.63636364,"Columbiana city, Alabama",4.154545455
92.18181818,39.90909091,68.45454545,"Coosada town, Alabama",4.409090909
90.72727273,35.54545455,65.27272727,"Cordova city, Alabama",4.427272727
92.45454545,40.81818182,68.54545455,"Cottonwood town, Alabama",2.409090909
90.72727273,35.54545455,65.27272727,"County Line town, Alabama",4.427272727
91.09090909,33.36363636,63.45454545,"Courtland town, Alabama",3.736363636
92.81818182,41.45454545,68.18181818,"Cowarts town, Alabama",4
91.72727273,41.18181818,68.18181818,"Creola city, Alabama",5.254545455
90.36363636,35.72727273,65.27272727,"Crossville town, Alabama",4.072727273
94.18181818,35.36363636,65.54545455,"Cuba town, Alabama",4.118181818
88.45454545,32.54545455,61.63636364,"Cullman city, Alabama",0.063636364
90.45454545,39,65.27272727,"Cusseta town, Alabama",3.272727273
90.45454545,39,65.27272727,"Dadeville city, Alabama",3.272727273
91.36363636,39.63636364,67.27272727,"Daleville city, Alabama",4.5
86.81818182,41.27272727,68.09090909,"Daphne city, Alabama",0.4
86.81818182,41.27272727,68.09090909,"Dauphin Island town, Alabama",0.4
90.45454545,39,65.27272727,"Daviston town, Alabama",3.272727273
92.72727273,35.27272727,65.45454545,"Dayton town, Alabama",3.554545455
92.18181818,39.90909091,68.45454545,"Deatsville town, Alabama",4.409090909
90.54545455,32.72727273,62.72727273,"Decatur city, Alabama",3.263636364
92.72727273,35.27272727,65.45454545,"Demopolis city, Alabama",3.554545455
90.36363636,35.72727273,65.27272727,"Detroit town, Alabama",4.072727273
88.45454545,32.54545455,61.63636364,"Dodge City town, Alabama",0.063636364
90.72727273,35.54545455,65.27272727,"Dora city, Alabama",4.427272727
92.81818182,41.45454545,68.18181818,"Dothan city, Alabama",4
88.45454545,32.54545455,61.63636364,"Double Springs town, Alabama",0.063636364
90,32.63636364,62.09090909,"Douglas town, Alabama",2.354545455
92.18181818,41.45454545,70.09090909,"Dozier town, Alabama",3.345454545
90.72727273,35.54545455,65.27272727,"Dutton town, Alabama",4.427272727
92.90909091,36.45454545,66.45454545,"East Brewton city, Alabama",4.009090909
92.18181818,39.90909091,68.45454545,"Eclectic town, Alabama",4.409090909
90.45454545,33.81818182,63.90909091,"Edwardsville town, Alabama",3.736363636
90.72727273,35.54545455,65.27272727,"Elba city, Alabama",4.427272727
86.81818182,41.27272727,68.09090909,"Elberta town, Alabama",0.4
92.72727273,35.27272727,65.45454545,"Eldridge town, Alabama",3.554545455
90.54545455,32.72727273,62.72727273,"Elkmont town, Alabama",3.263636364
92.18181818,39.90909091,68.45454545,"Elmore town, Alabama",4.409090909
94.18181818,35.36363636,65.54545455,"Emelle town, Alabama",4.118181818
91.36363636,39.63636364,67.27272727,"Enterprise city, Alabama",4.5
94.18181818,35.36363636,65.54545455,"Epes town, Alabama",4.118181818
90.36363636,35.72727273,65.27272727,"Ethelsville town, Alabama",4.072727273
89.63636364,39.45454545,66.36363636,"Eufaula city, Alabama",0.709090909
92.72727273,35.27272727,65.45454545,"Eutaw town, Alabama",3.554545455
88.45454545,32.54545455,61.63636364,"Eva town, Alabama",0.063636364
92.90909091,36.45454545,66.45454545,"Evergreen city, Alabama",4.009090909
92.90909091,36.45454545,66.45454545,"Excel town, Alabama",4.009090909
90.72727273,35.54545455,65.27272727,"Fairfield city, Alabama",4.427272727
86.81818182,41.27272727,68.09090909,"Fairhope city, Alabama",0.4
88.45454545,32.54545455,61.63636364,"Fairview town, Alabama",0.063636364
88.45454545,32.54545455,61.63636364,"Falkville town, Alabama",0.063636364
92.72727273,35.27272727,65.45454545,"Faunsdale town, Alabama",3.554545455
90.36363636,35.72727273,65.27272727,"Fayette city, Alabama",4.072727273
90.45454545,39,65.27272727,"Five Points town, Alabama",3.272727273
92.09090909,40.54545455,69,"Flomaton town, Alabama",3.454545455
90.54545455,40.63636364,68.54545455,"Florala town, Alabama",2.427272727
91.09090909,33.36363636,63.45454545,"Florence city, Alabama",3.736363636
86.81818182,41.27272727,68.09090909,"Foley city, Alabama",0.4
92.72727273,35.27272727,65.45454545,"Forkland town, Alabama",3.554545455
90.81818182,39.45454545,66.54545455,"Fort Deposit town, Alabama",2.181818182
92.63636364,32.54545455,62.90909091,"Fort Payne city, Alabama",3.754545455
90.45454545,39,65.27272727,"Franklin town, Alabama",3.272727273
92.90909091,36.45454545,66.45454545,"Frisco City town, Alabama",4.009090909
90.45454545,33.81818182,63.90909091,"Fruithurst town, Alabama",3.736363636
92.90909091,36.45454545,66.45454545,"Fulton town, Alabama",4.009090909
90.72727273,35.54545455,65.27272727,"Fultondale city, Alabama",4.427272727
90,32.63636364,62.09090909,"Fyffe town, Alabama",2.354545455
90,32.63636364,62.09090909,"Gadsden city, Alabama",2.354545455
94.18181818,35.36363636,65.54545455,"Gainesville town, Alabama",4.118181818
92.18181818,41.45454545,70.09090909,"Gantt town, Alabama",3.345454545
88.45454545,32.54545455,61.63636364,"Garden City town, Alabama",0.063636364
90.72727273,35.54545455,65.27272727,"Gardendale city, Alabama",4.427272727
92.63636364,32.54545455,62.90909091,"Gaylesville town, Alabama",3.754545455
92,34.72727273,64.90909091,"Geiger town, Alabama",0.945454545
91.36363636,39.63636364,67.27272727,"Geneva city, Alabama",4.5
90.81818182,39.45454545,66.54545455,"Georgiana town, Alabama",2.181818182
90,32.63636364,62.09090909,"Geraldine town, Alabama",2.354545455
90.36363636,35.72727273,65.27272727,"Glen Allen town, Alabama",4.072727273
90,32.63636364,62.09090909,"Glencoe city, Alabama",2.354545455
92.18181818,41.45454545,70.09090909,"Glenwood town, Alabama",3.345454545
90.45454545,33.81818182,63.90909091,"Goldville town, Alabama",3.736363636
88.45454545,32.54545455,61.63636364,"Good Hope town, Alabama",0.063636364
90.72727273,35.54545455,65.27272727,"Goodwater town, Alabama",4.427272727
92.72727273,35.27272727,65.45454545,"Gordo town, Alabama",3.554545455
92.45454545,40.81818182,68.54545455,"Gordon town, Alabama",2.409090909
93,36.90909091,66.72727273,"Gordonville town, Alabama",3.927272727
90.81818182,39.45454545,66.54545455,"Goshen town, Alabama",2.181818182
88.45454545,32.54545455,61.63636364,"Grant town, Alabama",0.063636364
90.72727273,35.54545455,65.27272727,"Graysville city, Alabama",4.427272727
92.72727273,35.27272727,65.45454545,"Greensboro city, Alabama",3.554545455
90.81818182,39.45454545,66.54545455,"Greenville city, Alabama",2.181818182
92.81818182,41.45454545,68.18181818,"Grimes town, Alabama",4
92.90909091,36.45454545,66.45454545,"Grove Hill town, Alabama",4.009090909
90.36363636,35.72727273,65.27272727,"Guin city, Alabama",4.072727273
86.81818182,41.27272727,68.09090909,"Gulf Shores city, Alabama",0.4
90,32.63636364,62.09090909,"Guntersville city, Alabama",2.354545455
88.45454545,32.54545455,61.63636364,"Gurley town, Alabama",0.063636364
90.36363636,35.72727273,65.27272727,"Gu-Win town, Alabama",4.072727273
91.09090909,33.36363636,63.45454545,"Hackleburg town, Alabama",3.736363636
92.81818182,41.45454545,68.18181818,"Haleburg town, Alabama",4
91.09090909,33.36363636,63.45454545,"Haleyville city, Alabama",3.736363636
90.36363636,35.72727273,65.27272727,"Hamilton city, Alabama",4.072727273
92.63636364,32.54545455,62.90909091,"Hammondville town, Alabama",3.754545455
88.45454545,32.54545455,61.63636364,"Hanceville city, Alabama",0.063636364
90.45454545,38,64.63636364,"Harpersville town, Alabama",4.154545455
91.36363636,39.63636364,67.27272727,"Hartford city, Alabama",4.5
88.45454545,32.54545455,61.63636364,"Hartselle city, Alabama",0.063636364
90.72727273,35.54545455,65.27272727,"Hayden town, Alabama",4.427272727
93,36.90909091,66.72727273,"Hayneville town, Alabama",3.927272727
92.81818182,41.45454545,68.18181818,"Headland city, Alabama",4
92.18181818,41.45454545,70.09090909,"Heath town, Alabama",3.345454545
90.45454545,33.81818182,63.90909091,"Heflin city, Alabama",3.736363636
90.45454545,38,64.63636364,"Helena city, Alabama",4.154545455
90.72727273,35.54545455,65.27272727,"Henagar city, Alabama",4.427272727
90,32.63636364,62.09090909,"Highland Lake town, Alabama",2.354545455
90.54545455,32.72727273,62.72727273,"Hillsboro town, Alabama",3.263636364
90.45454545,33.81818182,63.90909091,"Hobson City town, Alabama",3.736363636
91.09090909,33.36363636,63.45454545,"Hodges town, Alabama",3.736363636
90,32.63636364,62.09090909,"Hokes Bluff city, Alabama",2.354545455
88.45454545,32.54545455,61.63636364,"Holly Pond town, Alabama",0.063636364
90.72727273,35.54545455,65.27272727,"Hollywood town, Alabama",4.427272727
90.72727273,35.54545455,65.27272727,"Homewood city, Alabama",4.427272727
90.72727273,35.54545455,65.27272727,"Hoover city, Alabama",4.427272727
92.18181818,41.45454545,70.09090909,"Horn Hill town, Alabama",3.345454545
90.54545455,32.72727273,62.72727273,"Huntsville city, Alabama",3.263636364
91.54545455,34.90909091,64.81818182,"Hurtsboro town, Alabama",4.381818182
90.72727273,35.54545455,65.27272727,"Hytop town, Alabama",4.427272727
90.09090909,34.45454545,62.54545455,"Ider town, Alabama",3.872727273
90.45454545,38,64.63636364,"Indian Springs Village city, Alabama",4.154545455
90.72727273,35.54545455,65.27272727,"Irondale city, Alabama",4.427272727
92.90909091,36.45454545,66.45454545,"Jackson city, Alabama",4.009090909
90.45454545,39,65.27272727,"Jacksons' Gap town, Alabama",3.272727273
90.45454545,33.81818182,63.90909091,"Jacksonville city, Alabama",3.736363636
90.72727273,35.54545455,65.27272727,"Jasper city, Alabama",4.427272727
90.45454545,38,64.63636364,"Jemison city, Alabama",4.154545455
92.72727273,35.27272727,65.45454545,"Kansas town, Alabama",3.554545455
90.72727273,35.54545455,65.27272727,"Kellyton town, Alabama",4.427272727
90.36363636,35.72727273,65.27272727,"Kennedy town, Alabama",4.072727273
91.09090909,33.36363636,63.45454545,"Killen town, Alabama",3.736363636
90.72727273,35.54545455,65.27272727,"Kimberly city, Alabama",4.427272727
92.81818182,41.45454545,68.18181818,"Kinsey town, Alabama",4
92.18181818,41.45454545,70.09090909,"Kinston town, Alabama",3.345454545
90,32.63636364,62.09090909,"Lakeview town, Alabama",2.354545455
90.45454545,38,64.63636364,"Lake View town, Alabama",4.154545455
90.45454545,39,65.27272727,"Lanett city, Alabama",3.272727273
90.72727273,35.54545455,65.27272727,"Langston town, Alabama",4.427272727
90.72727273,35.54545455,65.27272727,"Leeds city, Alabama",4.427272727
90,32.63636364,62.09090909,"Leesburg town, Alabama",2.354545455
91.09090909,33.36363636,63.45454545,"Leighton town, Alabama",3.736363636
90.54545455,32.72727273,62.72727273,"Lester town, Alabama",3.263636364
91.36363636,39.63636364,67.27272727,"Level Plains town, Alabama",4.5
91.09090909,33.36363636,63.45454545,"Lexington town, Alabama",3.736363636
92.18181818,41.45454545,70.09090909,"Libertyville town, Alabama",3.345454545
90.45454545,33.81818182,63.90909091,"Lincoln city, Alabama",3.736363636
94.18181818,35.36363636,65.54545455,"Linden city, Alabama",4.118181818
90.45454545,33.81818182,63.90909091,"Lineville city, Alabama",3.736363636
90.72727273,35.54545455,65.27272727,"Lipscomb city, Alabama",4.427272727
94.18181818,35.36363636,65.54545455,"Lisman town, Alabama",4.118181818
91.09090909,33.36363636,63.45454545,"Littleville town, Alabama",3.736363636
94.18181818,35.36363636,65.54545455,"Livingston city, Alabama",4.118181818
90.45454545,39,65.27272727,"Loachapoka town, Alabama",3.272727273
90.54545455,40.63636364,68.54545455,"Lockhart town, Alabama",2.427272727
90.72727273,35.54545455,65.27272727,"Locust Fork town, Alabama",4.427272727
89.63636364,39.45454545,66.36363636,"Louisville town, Alabama",0.709090909
93,36.90909091,66.72727273,"Lowndesboro town, Alabama",3.927272727
86.81818182,41.27272727,68.09090909,"Loxley town, Alabama",0.4
90.81818182,39.45454545,66.54545455,"Luverne city, Alabama",2.181818182
88.45454545,32.54545455,61.63636364,"Lynn town, Alabama",0.063636364
91.72727273,41.18181818,68.18181818,"McIntosh town, Alabama",5.254545455
92.90909091,36.45454545,66.45454545,"McKenzie town, Alabama",4.009090909
92.18181818,39.90909091,68.45454545,"Madison city, Alabama",4.409090909
92.45454545,40.81818182,68.54545455,"Madrid town, Alabama",2.409090909
86.81818182,41.27272727,68.09090909,"Magnolia Springs town, Alabama",0.4
92.81818182,41.45454545,68.18181818,"Malvern town, Alabama",4
90.45454545,38,64.63636364,"Maplesville town, Alabama",4.154545455
90.72727273,35.54545455,65.27272727,"Margaret town, Alabama",4.427272727
92.72727273,35.27272727,65.45454545,"Marion city, Alabama",3.554545455
92,34.72727273,64.90909091,"Memphis town, Alabama",0.945454545
92.63636364,32.54545455,62.90909091,"Mentone town, Alabama",3.754545455
90.72727273,35.54545455,65.27272727,"Midfield city, Alabama",4.427272727
92.81818182,41.45454545,68.18181818,"Midland City town, Alabama",4
89.63636364,39.45454545,66.36363636,"Midway town, Alabama",0.709090909
92.18181818,39.90909091,68.45454545,"Millbrook city, Alabama",4.409090909
90.36363636,35.72727273,65.27272727,"Millport town, Alabama",4.072727273
94.18181818,35.36363636,65.54545455,"Millry town, Alabama",4.118181818
90.54545455,42.45454545,68.90909091,"Mobile city, Alabama",3.881818182
92.90909091,36.45454545,66.45454545,"Monroeville city, Alabama",4.009090909
90.45454545,38,64.63636364,"Montevallo city, Alabama",4.154545455
92.18181818,39.90909091,68.45454545,"Montgomery city, Alabama",4.409090909
90.72727273,35.54545455,65.27272727,"Moody city, Alabama",4.427272727
90.54545455,32.72727273,62.72727273,"Mooresville town, Alabama",3.263636364
90.72727273,35.54545455,65.27272727,"Morris town, Alabama",4.427272727
93,36.90909091,66.72727273,"Mosses town, Alabama",3.927272727
90.54545455,32.72727273,62.72727273,"Moulton city, Alabama",3.263636364
92.72727273,35.27272727,65.45454545,"Moundville town, Alabama",3.554545455
90.72727273,35.54545455,65.27272727,"Mountain Brook city, Alabama",4.427272727
91.72727273,41.18181818,68.18181818,"Mount Vernon town, Alabama",5.254545455
90.72727273,35.54545455,65.27272727,"Mulga town, Alabama",4.427272727
90.45454545,33.81818182,63.90909091,"Munford town, Alabama",3.736363636
91.09090909,33.36363636,63.45454545,"Muscle Shoals city, Alabama",3.736363636
94.18181818,35.36363636,65.54545455,"Myrtlewood town, Alabama",4.118181818
92.81818182,41.45454545,68.18181818,"Napier Field town, Alabama",4
88.45454545,32.54545455,61.63636364,"Natural Bridge town, Alabama",0.063636364
88.45454545,32.54545455,61.63636364,"Nauvoo town, Alabama",0.063636364
88.45454545,32.54545455,61.63636364,"Nectar town, Alabama",0.063636364
94.18181818,35.36363636,65.54545455,"Needham town, Alabama",4.118181818
92.72727273,35.27272727,65.45454545,"Newbern town, Alabama",3.554545455
91.36363636,39.63636364,67.27272727,"New Brockton town, Alabama",4.5
88.45454545,32.54545455,61.63636364,"New Hope city, Alabama",0.063636364
90.45454545,33.81818182,63.90909091,"New Site town, Alabama",3.736363636
89.90909091,39.81818182,66.90909091,"Newton town, Alabama",1.027272727
92.81818182,41.45454545,68.18181818,"Newville town, Alabama",4
91.09090909,33.36363636,63.45454545,"North Courtland town, Alabama",3.736363636
90.45454545,38,64.63636364,"North Johns town, Alabama",4.154545455
92.72727273,35.27272727,65.45454545,"Northport city, Alabama",3.554545455
90.45454545,39,65.27272727,"Notasulga town, Alabama",3.272727273
90.45454545,38,64.63636364,"Oak Grove town, Alabama",4.154545455
90.81818182,39.45454545,66.54545455,"Oak Hill town, Alabama",2.181818182
92.72727273,35.27272727,65.45454545,"Oakman town, Alabama",3.554545455
90.72727273,35.54545455,65.27272727,"Odenville town, Alabama",4.427272727
90,32.63636364,62.09090909,"Ohatchee town, Alabama",2.354545455
90,32.63636364,62.09090909,"Oneonta city, Alabama",2.354545455
92.18181818,41.45454545,70.09090909,"Onycha town, Alabama",3.345454545
90.45454545,39,65.27272727,"Opelika city, Alabama",3.272727273
92.18181818,41.45454545,70.09090909,"Opp city, Alabama",3.345454545
86.81818182,41.27272727,68.09090909,"Orange Beach city, Alabama",0.4
90.81818182,39.45454545,66.54545455,"Orrville town, Alabama",2.181818182
88.45454545,32.54545455,61.63636364,"Owens Cross Roads town, Alabama",0.063636364
90.45454545,33.81818182,63.90909091,"Oxford city, Alabama",3.736363636
89.90909091,39.81818182,66.90909091,"Ozark city, Alabama",1.027272727
88.45454545,32.54545455,61.63636364,"Paint Rock town, Alabama",0.063636364
90.72727273,35.54545455,65.27272727,"Parrish town, Alabama",4.427272727
90.45454545,38,64.63636364,"Pelham city, Alabama",4.154545455
90.45454545,33.81818182,63.90909091,"Pell City city, Alabama",3.736363636
94.18181818,35.36363636,65.54545455,"Pennington town, Alabama",4.118181818
91.36363636,44.36363636,69.72727273,"Perdido Beach town, Alabama",5.454545455
90.81818182,39.45454545,66.54545455,"Petrey town, Alabama",2.181818182
91.45454545,39.81818182,66.36363636,"Phenix City city, Alabama",4.5
91.09090909,33.36363636,63.45454545,"Phil Campbell town, Alabama",3.736363636
92,34.72727273,64.90909091,"Pickensville town, Alabama",0.945454545
90,32.63636364,62.09090909,"Piedmont city, Alabama",2.354545455
92.18181818,39.90909091,68.45454545,"Pike Road town, Alabama",4.409090909
92.81818182,41.45454545,68.18181818,"Pinckard town, Alabama",4
90.81818182,39.45454545,66.54545455,"Pine Apple town, Alabama",2.181818182
92.90909091,36.45454545,66.45454545,"Pine Hill town, Alabama",4.009090909
90,32.63636364,62.09090909,"Pine Ridge town, Alabama",2.354545455
90.72727273,35.54545455,65.27272727,"Pinson city, Alabama",4.427272727
90.72727273,35.54545455,65.27272727,"Pisgah town, Alabama",4.427272727
90.72727273,35.54545455,65.27272727,"Pleasant Grove city, Alabama",4.427272727
90.72727273,35.54545455,65.27272727,"Pleasant Groves town, Alabama",4.427272727
92.09090909,40.54545455,69,"Pollard town, Alabama",3.454545455
90,32.63636364,62.09090909,"Powell town, Alabama",2.354545455
92.18181818,39.90909091,68.45454545,"Prattville city, Alabama",4.409090909
90.54545455,32.72727273,62.72727273,"Priceville town, Alabama",3.263636364
90.54545455,42.45454545,68.90909091,"Prichard city, Alabama",3.881818182
94.18181818,35.36363636,65.54545455,"Providence town, Alabama",4.118181818
90,32.63636364,62.09090909,"Ragland town, Alabama",2.354545455
90,32.63636364,62.09090909,"Rainbow City city, Alabama",2.354545455
90,32.63636364,62.09090909,"Rainsville city, Alabama",2.354545455
90.45454545,33.81818182,63.90909091,"Ranburne town, Alabama",3.736363636
91.90909091,35.18181818,64.72727273,"Red Bay city, Alabama",4.3
92.18181818,41.45454545,70.09090909,"Red Level town, Alabama",3.345454545
90,32.63636364,62.09090909,"Reece City town, Alabama",2.354545455
92.72727273,35.27272727,65.45454545,"Reform town, Alabama",3.554545455
92.81818182,41.45454545,68.18181818,"Rehobeth town, Alabama",4
92.90909091,36.45454545,66.45454545,"Repton town, Alabama",4.009090909
90,32.63636364,62.09090909,"Ridgeville town, Alabama",2.354545455
92.18181818,41.45454545,70.09090909,"River Falls town, Alabama",3.345454545
90.45454545,33.81818182,63.90909091,"Riverside town, Alabama",3.736363636
92.09090909,40.54545455,69,"Riverview town, Alabama",3.454545455
90.45454545,33.81818182,63.90909091,"Roanoke city, Alabama",3.736363636
86.81818182,41.27272727,68.09090909,"Robertsdale city, Alabama",0.4
90.72727273,35.54545455,65.27272727,"Rockford town, Alabama",4.427272727
91.09090909,33.36363636,63.45454545,"Rogersville town, Alabama",3.736363636
90,32.63636364,62.09090909,"Rosa town, Alabama",2.354545455
91.09090909,33.36363636,63.45454545,"Russellville city, Alabama",3.736363636
90.81818182,39.45454545,66.54545455,"Rutledge town, Alabama",2.181818182
90.54545455,40.63636364,68.54545455,"Samson city, Alabama",2.427272727
90,32.63636364,62.09090909,"Sand Rock town, Alabama",2.354545455
92.18181818,41.45454545,70.09090909,"Sanford town, Alabama",3.345454545
91.72727273,41.18181818,68.18181818,"Saraland city, Alabama",5.254545455
90,32.63636364,62.09090909,"Sardis City town, Alabama",2.354545455
91.72727273,41.18181818,68.18181818,"Satsuma city, Alabama",5.254545455
90.72727273,35.54545455,65.27272727,"Scottsboro city, Alabama",4.427272727
90.72727273,35.54545455,65.27272727,"Section town, Alabama",4.427272727
93,36.90909091,66.72727273,"Selma city, Alabama",3.927272727
91.72727273,41.18181818,68.18181818,"Semmes city, Alabama",5.254545455
91.09090909,33.36363636,63.45454545,"Sheffield city, Alabama",3.736363636
90,32.63636364,62.09090909,"Shiloh town, Alabama",2.354545455
92.18181818,39.90909091,68.45454545,"Shorter town, Alabama",4.409090909
94.18181818,35.36363636,65.54545455,"Silas town, Alabama",4.118181818
86.81818182,41.27272727,68.09090909,"Silverhill town, Alabama",0.4
90.72727273,35.54545455,65.27272727,"Sipsey town, Alabama",4.427272727
90.72727273,35.54545455,65.27272727,"Skyline town, Alabama",4.427272727
91.36363636,39.63636364,67.27272727,"Slocomb city, Alabama",4.5
91.45454545,39.81818182,66.36363636,"Smiths Station city, Alabama",4.5
90,32.63636364,62.09090909,"Snead town, Alabama",2.354545455
88.45454545,32.54545455,61.63636364,"Somerville town, Alabama",0.063636364
90,32.63636364,62.09090909,"Southside city, Alabama",2.354545455
88.45454545,32.54545455,61.63636364,"South Vinemont town, Alabama",0.063636364
86.81818182,41.27272727,68.09090909,"Spanish Fort city, Alabama",0.4
90.72727273,35.54545455,65.27272727,"Springville city, Alabama",4.427272727
90,32.63636364,62.09090909,"Steele town, Alabama",2.354545455
90.72727273,35.54545455,65.27272727,"Stevenson city, Alabama",4.427272727
90.36363636,35.72727273,65.27272727,"Sulligent city, Alabama",4.072727273
