id,Geography,stateAbbr,stateFullName
120,"Eclectic, Alabama",AL, Alabama
121,"Edwardsville, Alabama",AL, Alabama
122,"Elba, Alabama",AL, Alabama
123,"Elberta, Alabama",AL, Alabama
124,"Eldridge, Alabama",AL, Alabama
125,"Elkmont, Alabama",AL, Alabama
126,"Elmore, Alabama",AL, Alabama
127,"Emelle, Alabama",AL, Alabama
128,"Enterprise, Alabama",AL, Alabama
129,"Epes, Alabama",AL, Alabama
130,"Ethelsville, Alabama",AL, Alabama
131,"Eufaula, Alabama",AL, Alabama
132,"Eutaw, Alabama",AL, Alabama
133,"Eva, Alabama",AL, Alabama
134,"Evergreen, Alabama",AL, Alabama
135,"Excel, Alabama",AL, Alabama
136,"Fairfield, Alabama",AL, Alabama
137,"Fairhope, Alabama",AL, Alabama
138,"Fairview, Alabama",AL, Alabama
139,"Falkville, Alabama",AL, Alabama
140,"Faunsdale, Alabama",AL, Alabama
141,"Fayette, Alabama",AL, Alabama
142,"Five Points, Alabama",AL, Alabama
143,"Flomaton, Alabama",AL, Alabama
144,"Florala, Alabama",AL, Alabama
145,"Florence, Alabama",AL, Alabama
146,"Foley, Alabama",AL, Alabama
147,"Forkland, Alabama",AL, Alabama
148,"Fort Deposit, Alabama",AL, Alabama
149,"Fort Payne, Alabama",AL, Alabama
150,"Franklin, Alabama",AL, Alabama
151,"Frisco City, Alabama",AL, Alabama
152,"Fruithurst, Alabama",AL, Alabama
153,"Fulton, Alabama",AL, Alabama
154,"Fultondale, Alabama",AL, Alabama
155,"Fyffe, Alabama",AL, Alabama
156,"Gadsden, Alabama",AL, Alabama
157,"Gainesville, Alabama",AL, Alabama
158,"Gantt, Alabama",AL, Alabama
159,"Garden City, Alabama",AL, Alabama
160,"Gardendale, Alabama",AL, Alabama
161,"Gaylesville, Alabama",AL, Alabama
162,"Geiger, Alabama",AL, Alabama
163,"Geneva, Alabama",AL, Alabama
164,"Georgiana, Alabama",AL, Alabama
165,"Geraldine, Alabama",AL, Alabama
166,"Glen Allen, Alabama",AL, Alabama
167,"Glencoe, Alabama",AL, Alabama
168,"Glenwood, Alabama",AL, Alabama
169,"Goldville, Alabama",AL, Alabama
170,"Good Hope, Alabama",AL, Alabama
171,"Goodwater, Alabama",AL, Alabama
172,"Gordo, Alabama",AL, Alabama
173,"Gordon, Alabama",AL, Alabama
174,"Gordonville, Alabama",AL, Alabama
175,"Goshen, Alabama",AL, Alabama
176,"Grant, Alabama",AL, Alabama
177,"Graysville, Alabama",AL, Alabama
178,"Greensboro, Alabama",AL, Alabama
179,"Greenville, Alabama",AL, Alabama
180,"Grimes, Alabama",AL, Alabama
181,"Grove Hill, Alabama",AL, Alabama
182,"Guin, Alabama",AL, Alabama
183,"Gulf Shores, Alabama",AL, Alabama
184,"Guntersville, Alabama",AL, Alabama
185,"Gurley, Alabama",AL, Alabama
186,"Gu-Win, Alabama",AL, Alabama
187,"Hackleburg, Alabama",AL, Alabama
188,"Haleburg, Alabama",AL, Alabama
189,"Haleyville, Alabama",AL, Alabama
190,"Hamilton, Alabama",AL, Alabama
191,"Hammondville, Alabama",AL, Alabama
192,"Hanceville, Alabama",AL, Alabama
193,"Harpersville, Alabama",AL, Alabama
194,"Hartford, Alabama",AL, Alabama
195,"Hartselle, Alabama",AL, Alabama
196,"Hayden, Alabama",AL, Alabama
197,"Hayneville, Alabama",AL, Alabama
198,"Headland, Alabama",AL, Alabama
199,"Heath, Alabama",AL, Alabama
200,"Heflin, Alabama",AL, Alabama
201,"Helena, Alabama",AL, Alabama
202,"Henagar, Alabama",AL, Alabama
203,"Highland Lake, Alabama",AL, Alabama
204,"Hillsboro, Alabama",AL, Alabama
205,"Hobson City, Alabama",AL, Alabama
206,"Hodges, Alabama",AL, Alabama
207,"Hokes Bluff, Alabama",AL, Alabama
208,"Holly Pond, Alabama",AL, Alabama
209,"Hollywood, Alabama",AL, Alabama
210,"Homewood, Alabama",AL, Alabama
211,"Hoover, Alabama",AL, Alabama
212,"Horn Hill, Alabama",AL, Alabama
213,"Huntsville, Alabama",AL, Alabama
214,"Hurtsboro, Alabama",AL, Alabama
215,"Hytop, Alabama",AL, Alabama
216,"Ider, Alabama",AL, Alabama
217,"Indian Springs Village, Alabama",AL, Alabama
218,"Irondale, Alabama",AL, Alabama
219,"Jackson, Alabama",AL, Alabama
220,"Jacksons' Gap, Alabama",AL, Alabama
221,"Jacksonville, Alabama",AL, Alabama
222,"Jasper, Alabama",AL, Alabama
223,"Jemison, Alabama",AL, Alabama
224,"Kansas, Alabama",AL, Alabama
225,"Kellyton, Alabama",AL, Alabama
226,"Kennedy, Alabama",AL, Alabama
227,"Killen, Alabama",AL, Alabama
228,"Kimberly, Alabama",AL, Alabama
229,"Kinsey, Alabama",AL, Alabama
230,"Kinston, Alabama",AL, Alabama
231,"Lakeview, Alabama",AL, Alabama
232,"Lake View, Alabama",AL, Alabama
233,"Lanett, Alabama",AL, Alabama
234,"Langston, Alabama",AL, Alabama
235,"Leeds, Alabama",AL, Alabama
236,"Leesburg, Alabama",AL, Alabama
237,"Leighton, Alabama",AL, Alabama
238,"Lester, Alabama",AL, Alabama
239,"Level Plains, Alabama",AL, Alabama
240,"Lexington, Alabama",AL, Alabama
241,"Libertyville, Alabama",AL, Alabama
242,"Lincoln, Alabama",AL, Alabama
243,"Linden, Alabama",AL, Alabama
244,"Lineville, Alabama",AL, Alabama
245,"Lipscomb, Alabama",AL, Alabama
246,"Lisman, Alabama",AL, Alabama
247,"Littleville, Alabama",AL, Alabama
248,"Livingston, Alabama",AL, Alabama
249,"Loachapoka, Alabama",AL, Alabama
250,"Lockhart, Alabama",AL, Alabama
251,"Locust Fork, Alabama",AL, Alabama
252,"Louisville, Alabama",AL, Alabama
253,"Lowndesboro, Alabama",AL, Alabama
254,"Loxley, Alabama",AL, Alabama
255,"Luverne, Alabama",AL, Alabama
256,"Lynn, Alabama",AL, Alabama
257,"McIntosh, Alabama",AL, Alabama
258,"McKenzie, Alabama",AL, Alabama
259,"Madison, Alabama",AL, Alabama
260,"Madrid, Alabama",AL, Alabama
261,"Magnolia Springs, Alabama",AL, Alabama
262,"Malvern, Alabama",AL, Alabama
263,"Maplesville, Alabama",AL, Alabama
264,"Margaret, Alabama",AL, Alabama
265,"Marion, Alabama",AL, Alabama
266,"Memphis, Alabama",AL, Alabama
267,"Mentone, Alabama",AL, Alabama
268,"Midfield, Alabama",AL, Alabama
269,"Midland City, Alabama",AL, Alabama
270,"Midway, Alabama",AL, Alabama
271,"Millbrook, Alabama",AL, Alabama
272,"Millport, Alabama",AL, Alabama
273,"Millry, Alabama",AL, Alabama
274,"Mobile, Alabama",AL, Alabama
275,"Monroeville, Alabama",AL, Alabama
276,"Montevallo, Alabama",AL, Alabama
277,"Montgomery, Alabama",AL, Alabama
278,"Moody, Alabama",AL, Alabama
279,"Mooresville, Alabama",AL, Alabama
280,"Morris, Alabama",AL, Alabama
281,"Mosses, Alabama",AL, Alabama
282,"Moulton, Alabama",AL, Alabama
283,"Moundville, Alabama",AL, Alabama
284,"Mountain Brook, Alabama",AL, Alabama
285,"Mount Vernon, Alabama",AL, Alabama
286,"Mulga, Alabama",AL, Alabama
287,"Munford, Alabama",AL, Alabama
288,"Muscle Shoals, Alabama",AL, Alabama
289,"Myrtlewood, Alabama",AL, Alabama
290,"Napier Field, Alabama",AL, Alabama
291,"Natural Bridge, Alabama",AL, Alabama
292,"Nauvoo, Alabama",AL, Alabama
293,"Nectar, Alabama",AL, Alabama
294,"Needham, Alabama",AL, Alabama
295,"Newbern, Alabama",AL, Alabama
296,"New Brockton, Alabama",AL, Alabama
297,"New Hope, Alabama",AL, Alabama
298,"New Site, Alabama",AL, Alabama
299,"Newton, Alabama",AL, Alabama
300,"Newville, Alabama",AL, Alabama
301,"North Courtland, Alabama",AL, Alabama
302,"North Johns, Alabama",AL, Alabama
303,"Northport, Alabama",AL, Alabama
304,"Notasulga, Alabama",AL, Alabama
305,"Oak Grove, Alabama",AL, Alabama
306,"Oak Hill, Alabama",AL, Alabama
307,"Oakman, Alabama",AL, Alabama
308,"Odenville, Alabama",AL, Alabama
309,"Ohatchee, Alabama",AL, Alabama
310,"Oneonta, Alabama",AL, Alabama
311,"Onycha, Alabama",AL, Alabama
312,"Opelika, Alabama",AL, Alabama
313,"Opp, Alabama",AL, Alabama
314,"Orange Beach, Alabama",AL, Alabama
315,"Orrville, Alabama",AL, Alabama
316,"Owens Cross Roads, Alabama",AL, Alabama
317,"Oxford, Alabama",AL, Alabama
318,"Ozark, Alabama",AL, Alabama
319,"Paint Rock, Alabama",AL, Alabama
320,"Parrish, Alabama",AL, Alabama
321,"Pelham, Alabama",AL, Alabama
322,"Pell City, Alabama",AL, Alabama
323,"Pennington, Alabama",AL, Alabama
324,"Perdido Beach, Alabama",AL, Alabama
325,"Petrey, Alabama",AL, Alabama
326,"Phenix City, Alabama",AL, Alabama
327,"Phil Campbell, Alabama",AL, Alabama
328,"Pickensville, Alabama",AL, Alabama
329,"Piedmont, Alabama",AL, Alabama
330,"Pike Road, Alabama",AL, Alabama
331,"Pinckard, Alabama",AL, Alabama
332,"Pine Apple, Alabama",AL, Alabama
333,"Pine Hill, Alabama",AL, Alabama
334,"Pine Ridge, Alabama",AL, Alabama
335,"Pinson, Alabama",AL, Alabama
336,"Pisgah, Alabama",AL, Alabama
337,"Pleasant Grove, Alabama",AL, Alabama
338,"Pleasant Groves, Alabama",AL, Alabama
339,"Pollard, Alabama",AL, Alabama
340,"Powell, Alabama",AL, Alabama
341,"Prattville, Alabama",AL, Alabama
342,"Priceville, Alabama",AL, Alabama
343,"Prichard, Alabama",AL, Alabama
344,"Providence, Alabama",AL, Alabama
345,"Ragland, Alabama",AL, Alabama
346,"Rainbow City, Alabama",AL, Alabama
347,"Rainsville, Alabama",AL, Alabama
348,"Ranburne, Alabama",AL, Alabama
349,"Red Bay, Alabama",AL, Alabama
350,"Red Level, Alabama",AL, Alabama
351,"Reece City, Alabama",AL, Alabama
352,"Reform, Alabama",AL, Alabama
353,"Rehobeth, Alabama",AL, Alabama
354,"Repton, Alabama",AL, Alabama
355,"Ridgeville, Alabama",AL, Alabama
356,"River Falls, Alabama",AL, Alabama
357,"Riverside, Alabama",AL, Alabama
358,"Riverview, Alabama",AL, Alabama
359,"Roanoke, Alabama",AL, Alabama
360,"Robertsdale, Alabama",AL, Alabama
361,"Rockford, Alabama",AL, Alabama
362,"Rogersville, Alabama",AL, Alabama
363,"Rosa, Alabama",AL, Alabama
364,"Russellville, Alabama",AL, Alabama
365,"Rutledge, Alabama",AL, Alabama
366,"Samson, Alabama",AL, Alabama
367,"Sand Rock, Alabama",AL, Alabama
368,"Sanford, Alabama",AL, Alabama
369,"Saraland, Alabama",AL, Alabama
370,"Sardis City, Alabama",AL, Alabama
371,"Satsuma, Alabama",AL, Alabama
372,"Scottsboro, Alabama",AL, Alabama
373,"Section, Alabama",AL, Alabama
374,"Selma, Alabama",AL, Alabama
375,"Semmes, Alabama",AL, Alabama
376,"Sheffield, Alabama",AL, Alabama
377,"Shiloh, Alabama",AL, Alabama
378,"Shorter, Alabama",AL, Alabama
379,"Silas, Alabama",AL, Alabama
380,"Silverhill, Alabama",AL, Alabama
381,"Sipsey, Alabama",AL, Alabama
382,"Skyline, Alabama",AL, Alabama
383,"Slocomb, Alabama",AL, Alabama
384,"Smiths Station, Alabama",AL, Alabama
385,"Snead, Alabama",AL, Alabama
386,"Somerville, Alabama",AL, Alabama
387,"Southside, Alabama",AL, Alabama
388,"South Vinemont, Alabama",AL, Alabama
389,"Spanish Fort, Alabama",AL, Alabama
390,"Springville, Alabama",AL, Alabama
391,"Steele, Alabama",AL, Alabama
392,"Stevenson, Alabama",AL, Alabama
393,"Sulligent, Alabama",AL, Alabama
394,"Sumiton, Alabama",AL, Alabama
395,"Summerdale, Alabama",AL, Alabama
396,"Susan Moore, Alabama",AL, Alabama
397,"Sweet Water, Alabama",AL, Alabama
398,"Sylacauga, Alabama",AL, Alabama
399,"Sylvania, Alabama",AL, Alabama
400,"Sylvan Springs, Alabama",AL, Alabama
401,"Talladega, Alabama",AL, Alabama
402,"Talladega Springs, Alabama",AL, Alabama
403,"Tallassee, Alabama",AL, Alabama
404,"Tarrant, Alabama",AL, Alabama
405,"Taylor, Alabama",AL, Alabama
406,"Thomaston, Alabama",AL, Alabama
407,"Thomasville, Alabama",AL, Alabama
408,"Thorsby, Alabama",AL, Alabama
409,"Town Creek, Alabama",AL, Alabama
410,"Toxey, Alabama",AL, Alabama
411,"Trafford, Alabama",AL, Alabama
412,"Triana, Alabama",AL, Alabama
413,"Trinity, Alabama",AL, Alabama
414,"Troy, Alabama",AL, Alabama
415,"Trussville, Alabama",AL, Alabama
416,"Tuscaloosa, Alabama",AL, Alabama
417,"Tuscumbia, Alabama",AL, Alabama
418,"Tuskegee, Alabama",AL, Alabama
419,"Twin, Alabama",AL, Alabama
420,"Union, Alabama",AL, Alabama
421,"Union Grove, Alabama",AL, Alabama
422,"Union Springs, Alabama",AL, Alabama
423,"Union, Alabama",AL, Alabama
424,"Valley, Alabama",AL, Alabama
425,"Valley Grande, Alabama",AL, Alabama
426,"Valley Head, Alabama",AL, Alabama
427,"Vance, Alabama",AL, Alabama
428,"Vernon, Alabama",AL, Alabama
429,"Vestavia Hills, Alabama",AL, Alabama
430,"Vina, Alabama",AL, Alabama
431,"Vincent, Alabama",AL, Alabama
432,"Vredenburgh, Alabama",AL, Alabama
433,"Wadley, Alabama",AL, Alabama
434,"Waldo, Alabama",AL, Alabama
435,"Walnut Grove, Alabama",AL, Alabama
436,"Warrior, Alabama",AL, Alabama
437,"Waterloo, Alabama",AL, Alabama
438,"Waverly, Alabama",AL, Alabama
439,"Weaver, Alabama",AL, Alabama
440,"Webb, Alabama",AL, Alabama
441,"Wedowee, Alabama",AL, Alabama
442,"West Blocton, Alabama",AL, Alabama
443,"West Jefferson, Alabama",AL, Alabama
444,"Westover, Alabama",AL, Alabama
445,"West Point, Alabama",AL, Alabama
446,"Wetumpka, Alabama",AL, Alabama
447,"White Hall, Alabama",AL, Alabama
448,"Wilsonville, Alabama",AL, Alabama
449,"Wilton, Alabama",AL, Alabama
450,"Winfield, Alabama",AL, Alabama
451,"Woodland, Alabama",AL, Alabama
452,"Woodstock, Alabama",AL, Alabama
453,"Woodville, Alabama",AL, Alabama
454,"Yellow Bluff, Alabama",AL, Alabama
455,"York, Alabama",AL, Alabama
456,"Adak, Alaska",AK, Alaska
457,"Akhiok, Alaska",AK, Alaska
458,"Akiak, Alaska",AK, Alaska
459,"Akutan, Alaska",AK, Alaska
460,"Alakanuk, Alaska",AK, Alaska
461,"Aleknagik, Alaska",AK, Alaska
462,"Allakaket, Alaska",AK, Alaska
463,"Ambler, Alaska",AK, Alaska
464,"Anaktuvuk Pass, Alaska",AK, Alaska
465,"Anderson, Alaska",AK, Alaska
466,"Angoon, Alaska",AK, Alaska
467,"Aniak, Alaska",AK, Alaska
468,"Anvik, Alaska",AK, Alaska
469,"Atka, Alaska",AK, Alaska
470,"Atqasuk, Alaska",AK, Alaska
471,"Barrow, Alaska",AK, Alaska
472,"Bethel, Alaska",AK, Alaska
473,"Bettles, Alaska",AK, Alaska
474,"Brevig Mission, Alaska",AK, Alaska
475,"Buckland, Alaska",AK, Alaska
476,"Chefornak, Alaska",AK, Alaska
477,"Chevak, Alaska",AK, Alaska
478,"Chignik, Alaska",AK, Alaska
479,"Chuathbaluk, Alaska",AK, Alaska
480,"Clark's Point, Alaska",AK, Alaska
481,"Coffman Cove, Alaska",AK, Alaska
482,"Cold Bay, Alaska",AK, Alaska
483,"Cordova, Alaska",AK, Alaska
484,"Craig, Alaska",AK, Alaska
485,"Deering, Alaska",AK, Alaska
486,"Delta Junction, Alaska",AK, Alaska
487,"Dillingham, Alaska",AK, Alaska
488,"Diomede, Alaska",AK, Alaska
489,"Eagle, Alaska",AK, Alaska
490,"Edna Bay, Alaska",AK, Alaska
491,"Eek, Alaska",AK, Alaska
492,"Egegik, Alaska",AK, Alaska
493,"Ekwok, Alaska",AK, Alaska
494,"Elim, Alaska",AK, Alaska
495,"Emmonak, Alaska",AK, Alaska
496,"Fairbanks, Alaska",AK, Alaska
497,"False Pass, Alaska",AK, Alaska
498,"Fort Yukon, Alaska",AK, Alaska
499,"Galena, Alaska",AK, Alaska
500,"Gambell, Alaska",AK, Alaska
501,"Golovin, Alaska",AK, Alaska
502,"Goodnews Bay, Alaska",AK, Alaska
503,"Grayling, Alaska",AK, Alaska
504,"Gustavus, Alaska",AK, Alaska
505,"Holy Cross, Alaska",AK, Alaska
506,"Homer, Alaska",AK, Alaska
507,"Hoonah, Alaska",AK, Alaska
508,"Hooper Bay, Alaska",AK, Alaska
509,"Houston, Alaska",AK, Alaska
510,"Hughes, Alaska",AK, Alaska
511,"Huslia, Alaska",AK, Alaska
512,"Hydaburg, Alaska",AK, Alaska
513,"Kachemak, Alaska",AK, Alaska
514,"Kake, Alaska",AK, Alaska
515,"Kaktovik, Alaska",AK, Alaska
516,"Kaltag, Alaska",AK, Alaska
517,"Kasaan, Alaska",AK, Alaska
518,"Kenai, Alaska",AK, Alaska
519,"Ketchikan, Alaska",AK, Alaska
520,"Kiana, Alaska",AK, Alaska
521,"King Cove, Alaska",AK, Alaska
522,"Kivalina, Alaska",AK, Alaska
523,"Klawock, Alaska",AK, Alaska
524,"Kobuk, Alaska",AK, Alaska
525,"Kodiak, Alaska",AK, Alaska
526,"Kotlik, Alaska",AK, Alaska
527,"Kotzebue, Alaska",AK, Alaska
528,"Koyuk, Alaska",AK, Alaska
529,"Koyukuk, Alaska",AK, Alaska
530,"Kwethluk, Alaska",AK, Alaska
531,"Larsen Bay, Alaska",AK, Alaska
532,"Lower Kalskag, Alaska",AK, Alaska
533,"McGrath, Alaska",AK, Alaska
534,"Manokotak, Alaska",AK, Alaska
535,"Marshall, Alaska",AK, Alaska
536,"Mekoryuk, Alaska",AK, Alaska
537,"Mountain Village, Alaska",AK, Alaska
538,"Napakiak, Alaska",AK, Alaska
539,"Napaskiak, Alaska",AK, Alaska
540,"Nenana, Alaska",AK, Alaska
541,"Newhalen, Alaska",AK, Alaska
542,"New Stuyahok, Alaska",AK, Alaska
543,"Nightmute, Alaska",AK, Alaska
544,"Nikolai, Alaska",AK, Alaska
545,"Nome, Alaska",AK, Alaska
546,"Nondalton, Alaska",AK, Alaska
547,"Noorvik, Alaska",AK, Alaska
548,"North Pole, Alaska",AK, Alaska
549,"Nuiqsut, Alaska",AK, Alaska
550,"Nulato, Alaska",AK, Alaska
551,"Nunam Iqua, Alaska",AK, Alaska
552,"Nunapitchuk, Alaska",AK, Alaska
553,"Old Harbor, Alaska",AK, Alaska
554,"Ouzinkie, Alaska",AK, Alaska
555,"Palmer, Alaska",AK, Alaska
556,"Pelican, Alaska",AK, Alaska
557,"Pilot Point, Alaska",AK, Alaska
558,"Pilot Station, Alaska",AK, Alaska
559,"Platinum, Alaska",AK, Alaska
560,"Point Hope, Alaska",AK, Alaska
561,"Port Heiden, Alaska",AK, Alaska
562,"Port Lions, Alaska",AK, Alaska
563,"Quinhagak, Alaska",AK, Alaska
564,"Ruby, Alaska",AK, Alaska
565,"Russian Mission, Alaska",AK, Alaska
566,"Sand Point, Alaska",AK, Alaska
567,"Savoonga, Alaska",AK, Alaska
568,"Saxman, Alaska",AK, Alaska
569,"Scammon Bay, Alaska",AK, Alaska
570,"Selawik, Alaska",AK, Alaska
571,"Seldovia, Alaska",AK, Alaska
572,"Seward, Alaska",AK, Alaska
573,"Shageluk, Alaska",AK, Alaska
574,"Shaktoolik, Alaska",AK, Alaska
575,"Shishmaref, Alaska",AK, Alaska
576,"Shungnak, Alaska",AK, Alaska
577,"Soldotna, Alaska",AK, Alaska
578,"Stebbins, Alaska",AK, Alaska
579,"Tanana, Alaska",AK, Alaska
580,"Teller, Alaska",AK, Alaska
581,"Tenakee Springs, Alaska",AK, Alaska
582,"Thorne Bay, Alaska",AK, Alaska
583,"Togiak, Alaska",AK, Alaska
584,"Toksook Bay, Alaska",AK, Alaska
585,"Unalakleet, Alaska",AK, Alaska
586,"Unalaska, Alaska",AK, Alaska
587,"Upper Kalskag, Alaska",AK, Alaska
588,"Valdez, Alaska",AK, Alaska
589,"Wainwright, Alaska",AK, Alaska
590,"Wales, Alaska",AK, Alaska
591,"Wasilla, Alaska",AK, Alaska
592,"White Mountain, Alaska",AK, Alaska
593,"Whittier, Alaska",AK, Alaska
594,"Apache Junction, Arizona",AZ, Arizona
595,"Avondale, Arizona",AZ, Arizona
596,"Benson, Arizona",AZ, Arizona
597,"Bisbee, Arizona",AZ, Arizona
598,"Buckeye, Arizona",AZ, Arizona
599,"Bullhead City, Arizona",AZ, Arizona
600,"Camp Verde, Arizona",AZ, Arizona
601,"Carefree, Arizona",AZ, Arizona
602,"Casa Grande, Arizona",AZ, Arizona
603,"Cave Creek, Arizona",AZ, Arizona
604,"Chandler, Arizona",AZ, Arizona
605,"Chino Valley, Arizona",AZ, Arizona
606,"Clarkdale, Arizona",AZ, Arizona
607,"Clifton, Arizona",AZ, Arizona
608,"Colorado City, Arizona",AZ, Arizona
609,"Coolidge, Arizona",AZ, Arizona
610,"Cottonwood, Arizona",AZ, Arizona
611,"Dewey-Humboldt, Arizona",AZ, Arizona
612,"Douglas, Arizona",AZ, Arizona
613,"Duncan, Arizona",AZ, Arizona
614,"Eagar, Arizona",AZ, Arizona
615,"El Mirage, Arizona",AZ, Arizona
616,"Eloy, Arizona",AZ, Arizona
617,"Flagstaff, Arizona",AZ, Arizona
618,"Florence, Arizona",AZ, Arizona
619,"Fountain Hills, Arizona",AZ, Arizona
620,"Fredonia, Arizona",AZ, Arizona
621,"Gila Bend, Arizona",AZ, Arizona
622,"Gilbert, Arizona",AZ, Arizona
623,"Glendale, Arizona",AZ, Arizona
624,"Globe, Arizona",AZ, Arizona
625,"Goodyear, Arizona",AZ, Arizona
626,"Guadalupe, Arizona",AZ, Arizona
627,"Hayden, Arizona",AZ, Arizona
628,"Holbrook, Arizona",AZ, Arizona
629,"Huachuca City, Arizona",AZ, Arizona
630,"Jerome, Arizona",AZ, Arizona
631,"Kearny, Arizona",AZ, Arizona
632,"Kingman, Arizona",AZ, Arizona
633,"Lake Havasu City, Arizona",AZ, Arizona
634,"Litchfield Park, Arizona",AZ, Arizona
635,"Mammoth, Arizona",AZ, Arizona
636,"Marana, Arizona",AZ, Arizona
637,"Maricopa, Arizona",AZ, Arizona
638,"Mesa, Arizona",AZ, Arizona
639,"Miami, Arizona",AZ, Arizona
640,"Nogales, Arizona",AZ, Arizona
